card_name,orientation,topic,meaning
The Fool,upright,general,"core energy aligned, progress or activation"
The Fool,reversed,general,"blocked energy, delay or imbalance"
The Fool,upright,exam,effort bringing measurable academic outcome
The Fool,reversed,exam,lack of preparation or mental distraction affecting result
The Fool,upright,love,emotional clarity or forward movement in connection
The Fool,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Fool,upright,career,"career growth, opportunity or structured progress"
The Fool,reversed,career,"career stagnation, poor planning or instability"
The Magician,upright,general,"core energy aligned, progress or activation"
The Magician,reversed,general,"blocked energy, delay or imbalance"
The Magician,upright,exam,effort bringing measurable academic outcome
The Magician,reversed,exam,lack of preparation or mental distraction affecting result
The Magician,upright,love,emotional clarity or forward movement in connection
The Magician,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Magician,upright,career,"career growth, opportunity or structured progress"
The Magician,reversed,career,"career stagnation, poor planning or instability"
The High Priestess,upright,general,"core energy aligned, progress or activation"
The High Priestess,reversed,general,"blocked energy, delay or imbalance"
The High Priestess,upright,exam,effort bringing measurable academic outcome
The High Priestess,reversed,exam,lack of preparation or mental distraction affecting result
The High Priestess,upright,love,emotional clarity or forward movement in connection
The High Priestess,reversed,love,"confusion, imbalance or miscommunication in relationship"
The High Priestess,upright,career,"career growth, opportunity or structured progress"
The High Priestess,reversed,career,"career stagnation, poor planning or instability"
The Empress,upright,general,"core energy aligned, progress or activation"
The Empress,reversed,general,"blocked energy, delay or imbalance"
The Empress,upright,exam,effort bringing measurable academic outcome
The Empress,reversed,exam,lack of preparation or mental distraction affecting result
The Empress,upright,love,emotional clarity or forward movement in connection
The Empress,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Empress,upright,career,"career growth, opportunity or structured progress"
The Empress,reversed,career,"career stagnation, poor planning or instability"
The Emperor,upright,general,"core energy aligned, progress or activation"
The Emperor,reversed,general,"blocked energy, delay or imbalance"
The Emperor,upright,exam,effort bringing measurable academic outcome
The Emperor,reversed,exam,lack of preparation or mental distraction affecting result
The Emperor,upright,love,emotional clarity or forward movement in connection
The Emperor,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Emperor,upright,career,"career growth, opportunity or structured progress"
The Emperor,reversed,career,"career stagnation, poor planning or instability"
The Hierophant,upright,general,"core energy aligned, progress or activation"
The Hierophant,reversed,general,"blocked energy, delay or imbalance"
The Hierophant,upright,exam,effort bringing measurable academic outcome
The Hierophant,reversed,exam,lack of preparation or mental distraction affecting result
The Hierophant,upright,love,emotional clarity or forward movement in connection
The Hierophant,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Hierophant,upright,career,"career growth, opportunity or structured progress"
The Hierophant,reversed,career,"career stagnation, poor planning or instability"
The Lovers,upright,general,"core energy aligned, progress or activation"
The Lovers,reversed,general,"blocked energy, delay or imbalance"
The Lovers,upright,exam,effort bringing measurable academic outcome
The Lovers,reversed,exam,lack of preparation or mental distraction affecting result
The Lovers,upright,love,emotional clarity or forward movement in connection
The Lovers,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Lovers,upright,career,"career growth, opportunity or structured progress"
The Lovers,reversed,career,"career stagnation, poor planning or instability"
The Chariot,upright,general,"core energy aligned, progress or activation"
The Chariot,reversed,general,"blocked energy, delay or imbalance"
The Chariot,upright,exam,effort bringing measurable academic outcome
The Chariot,reversed,exam,lack of preparation or mental distraction affecting result
The Chariot,upright,love,emotional clarity or forward movement in connection
The Chariot,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Chariot,upright,career,"career growth, opportunity or structured progress"
The Chariot,reversed,career,"career stagnation, poor planning or instability"
Strength,upright,general,"core energy aligned, progress or activation"
Strength,reversed,general,"blocked energy, delay or imbalance"
Strength,upright,exam,effort bringing measurable academic outcome
Strength,reversed,exam,lack of preparation or mental distraction affecting result
Strength,upright,love,emotional clarity or forward movement in connection
Strength,reversed,love,"confusion, imbalance or miscommunication in relationship"
Strength,upright,career,"career growth, opportunity or structured progress"
Strength,reversed,career,"career stagnation, poor planning or instability"
The Hermit,upright,general,"core energy aligned, progress or activation"
The Hermit,reversed,general,"blocked energy, delay or imbalance"
The Hermit,upright,exam,effort bringing measurable academic outcome
The Hermit,reversed,exam,lack of preparation or mental distraction affecting result
The Hermit,upright,love,emotional clarity or forward movement in connection
The Hermit,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Hermit,upright,career,"career growth, opportunity or structured progress"
The Hermit,reversed,career,"career stagnation, poor planning or instability"
Wheel of Fortune,upright,general,"core energy aligned, progress or activation"
Wheel of Fortune,reversed,general,"blocked energy, delay or imbalance"
Wheel of Fortune,upright,exam,effort bringing measurable academic outcome
Wheel of Fortune,reversed,exam,lack of preparation or mental distraction affecting result
Wheel of Fortune,upright,love,emotional clarity or forward movement in connection
Wheel of Fortune,reversed,love,"confusion, imbalance or miscommunication in relationship"
Wheel of Fortune,upright,career,"career growth, opportunity or structured progress"
Wheel of Fortune,reversed,career,"career stagnation, poor planning or instability"
Justice,upright,general,"core energy aligned, progress or activation"
Justice,reversed,general,"blocked energy, delay or imbalance"
Justice,upright,exam,effort bringing measurable academic outcome
Justice,reversed,exam,lack of preparation or mental distraction affecting result
Justice,upright,love,emotional clarity or forward movement in connection
Justice,reversed,love,"confusion, imbalance or miscommunication in relationship"
Justice,upright,career,"career growth, opportunity or structured progress"
Justice,reversed,career,"career stagnation, poor planning or instability"
The Hanged Man,upright,general,"core energy aligned, progress or activation"
The Hanged Man,reversed,general,"blocked energy, delay or imbalance"
The Hanged Man,upright,exam,effort bringing measurable academic outcome
The Hanged Man,reversed,exam,lack of preparation or mental distraction affecting result
The Hanged Man,upright,love,emotional clarity or forward movement in connection
The Hanged Man,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Hanged Man,upright,career,"career growth, opportunity or structured progress"
The Hanged Man,reversed,career,"career stagnation, poor planning or instability"
Death,upright,general,"core energy aligned, progress or activation"
Death,reversed,general,"blocked energy, delay or imbalance"
Death,upright,exam,effort bringing measurable academic outcome
Death,reversed,exam,lack of preparation or mental distraction affecting result
Death,upright,love,emotional clarity or forward movement in connection
Death,reversed,love,"confusion, imbalance or miscommunication in relationship"
Death,upright,career,"career growth, opportunity or structured progress"
